priority_tier,H5_ID,candidate_count,old_line_heuristic,recommended_line,recommended_name,line_distance,heuristic_confidence,heuristic_reason,candidate_vhcnd_lines
T2-medium,凌岳之真武剑,3,,33,V芦 Gian Thanh Phong Truy Y,,low,fallback-first-candidate-no-old-line,33(V芦 Gian Thanh Phong Truy Y) | 252([搂虄nh th锚i] V芦 Gian Thanh Phong Tri Y) | 797(V芦 Gian Thanh Phong Nhuy脭n K虄ch)
T2-medium,凌岳护腕,3,,111,Ma Ho碌ng 搂篓ng 搂鹿p Ngoa,,low,fallback-first-candidate-no-old-line,111(Ma Ho碌ng 搂篓ng 搂鹿p Ngoa) | 330([搂虄nh th锚i] Ma Ho碌ng 搂篓ng 搂鹿p Ngoa) | 875(Ma Ho碌ng Dung Kim 搂o鹿n Nh脣t Gi铆i)
T2-medium,及丰之三清符,3,,124,C脣p Phong Huy虊n Ti Tam 搂o鹿n c脠m,,low,fallback-first-candidate-no-old-line,124(C脣p Phong Huy虊n Ti Tam 搂o鹿n c脠m) | 343([搂虄nh th锚i] C脣p Phong Huy虊n Ty Tam 搂o鹿n C脠m) | 888([搂虄nh th锚i] C脣p Phong Huy虊n Ty Tam 搂o鹿n C脠m)
T2-medium,及丰之五龙冠,3,,1338,V漏n L茅c Thu脟n D颅卢ng Th颅卯ng Gi铆i,,low,fallback-first-candidate-no-old-line,1338(V漏n L茅c Thu脟n D颅卢ng Th颅卯ng Gi铆i) | 1348(V漏n L茅c Thanh Phong Th颅卯ng Gi铆i) | 4666(脭脝脗鹿脰庐膼鈧�膼茅脡脧陆盲)
T2-medium,同仇之亢龙护手,3,,16,T酶 Kh芦ng Gi铆i Lu脣t Ph赂p gi铆i,,low,fallback-first-candidate-no-old-line,16(T酶 Kh芦ng Gi铆i Lu脣t Ph赂p gi铆i) | 235([搂虄nh th锚i] T酶 Kh芦ng Gi铆i Lu脣t Ph赂p Gi铆i) | 780([搂虄nh th锚i] T酶 Kh芦ng Gi铆i Lu脣t Ph赂p Gi铆i)
T2-medium,同仇之降龙丐衣,3,,94,搂氓ng C啤u Ti虊m Long Y陋u 搂赂i,,low,fallback-first-candidate-no-old-line,94(搂氓ng C啤u Ti虊m Long Y陋u 搂赂i) | 313([搂虄nh th锚i] 搂氓ng C啤u Ti虊m Long Y陋u 搂赂i) | 858([搂虄nh th锚i] 搂氓ng C啤u Ti虊m Long Y陋u 搂赂i)
T2-medium,咒缚头冠,3,,68,Ch贸 Ph颅卯c Di脰t L芦i C露nh Ph茂,,low,fallback-first-candidate-no-old-line,68(Ch贸 Ph颅卯c Di脰t L芦i C露nh Ph茂) | 287([搂虄nh th锚i] Ch贸 Ph盲c Di脰t L芦i C露nh Ph茂) | 832([搂虄nh th锚i] Ch贸 Ph盲c Di脰t L芦i C露nh Ph茂)
T2-medium,四空护腕,3,,101,搂虄ch Kh赂i Th露o Gian Th鹿ch gi铆i,,low,fallback-first-candidate-no-old-line,101(搂虄ch Kh赂i Th露o Gian Th鹿ch gi铆i) | 320([搂虄nh th锚i] 搂虄ch Kh赂i Th露o Gian Th鹿ch Gi铆i) | 865([搂虄nh th锚i] 搂虄ch Kh赂i Th露o Gian Th鹿ch Gi铆i)
T2-medium,地魄护腕,3,,1330,V漏n L茅c L颅虂ng Nghi Ph赂p 搂赂i,,low,fallback-first-candidate-no-old-line,1330(V漏n L茅c L颅虂ng Nghi Ph赂p 搂赂i) | 1360(V漏n L茅c Phong L芦i Y陋u 搂赂i) | 4658(脭脝脗鹿脰庐脫帽脫掳脩眉麓酶)
T2-medium,地魄纵绦,3,,135,L芦i Khung Linh Ng盲c U脠n L芦i,,low,fallback-first-candidate-no-old-line,135(L芦i Khung Linh Ng盲c U脠n L芦i) | 354([搂虄nh th锚i] L芦i Khung Linh Ng盲c U脠n L芦i) | 899(L芦i Khung Linh Ng盲c 脠n L芦i Uy脫n)
