H5_ID,current_selected,proposed_selected,reason,candidate_name,distance,candidate_vhcnd_lines
伏魔僧鞋,1361,1354,nearest-candidate-to-current-selected,V漏n L茅c Thanh Phong B茅i,7,246([搂虄nh th锚i] Ng霉 Long L颅卯ng Ng漏n B露o 搂ao) | 559(脫霉脕煤脰庐露篓鹿芒禄脝陆膽卯酶) | 615(碌膼芒茅脰庐脜虁脕煤脥路陆铆) | 620(脛搂脡路脰庐脰膽脠茽脳脝脭脗脜氓) | 634(录掳路谩脰庐脝戮膼茅鹿脷) | 640(脣陋戮搂脰庐膼鈧�碌盲麓驴脩么鹿脷) | 674([脣脦陆膽]脫霉脕煤脰庐露篓鹿芒禄脝陆膽卯酶) | 730([脣脦陆膽]碌膼芒茅脰庐脜虁脕煤脥路陆铆) | 735([脣脦陆膽]脛搂脡路脰庐脰膽脠茽脳脝脭脗脜氓) | 749([脣脦陆膽]录掳路谩脰庐脝戮膼茅鹿脷) | 755([脣脦陆膽]脣陋戮搂脰庐膼鈧�碌盲麓驴脩么鹿脷) | 791([搂虄nh th锚i] Ng霉 Long L颅卯ng Ng漏n B露o 搂ao) | 954(Thanh C漏u H忙 搂脟u B茅i) | 964(Thanh C漏u 搂鹿i L霉c Y陋u Tr么y) | 1074(Thanh C漏u Li陋n Hoa Y陋u Tr么y) | 1084(Thanh C漏u L脰 垄m B茅i) | 1114(Thanh C漏u Linh Ch漏n Ng盲c B茅i) | 1124(Thanh C漏u B鹿ch H氓ng B茅i) | 1184(V漏n L茅c Ki陋n Nh脡n Y陋u Tr么y) | 1194(V漏n L茅c Uy V蹋 Y陋u Tr么y) | 1304(V漏n L茅c Chu Sa Y陋u Tr么y) | 1314(V漏n L茅c 搂虄nh Vi陋m B茅i) | 1344(V漏n L茅c Thu脟n D颅卢ng Ng盲c B茅i) | 1354(V漏n L茅c Thanh Phong B茅i) | 1414(Th颅卢ng Lang S颅 Man Y陋u Tr么y) | 1424(Th颅卢ng Lang T颅铆ng Qu漏n Y陋u Tr么y) | 1534(Th颅卢ng Lang Trung Li脰t Y陋u Tr么y) | 1544(Th颅卢ng Lang H谩a 露nh B茅i) | 1574(Th颅卢ng Lang Th脢t Tinh Ng盲c B茅i) | 1584(Th颅卢ng Lang Thi陋n Thanh B茅i) | 1644(Huy虊n Vi陋n Phi V漏n Y陋u Tr么y) | 1654(Huy虊n Vi陋n Anh D蹋ng Y陋u Tr么y) | 1764(Huy虊n Vi陋n Chi茽n Long Y陋u Tr么y) | 1774(Huy虊n Vi陋n L鹿c H氓n B茅i) | 1804(Huy虊n Vi陋n Tu T漏m Ng盲c B茅i) | 1814(Huy虊n Vi陋n Xuy陋n V漏n B茅i) | 1874(T枚 M路ng 搂虄nh H露i Y陋u Tr么y) | 1884(T枚 M路ng Tuy陋n Uy Y陋u Tr么y) | 1994(T枚 M路ng H谩a V漏n Y陋u Tr么y) | 2004(T枚 M路ng Dung Kim B茅i) | 2034(T枚 M路ng Ch漏n V蹋 Ng盲c B茅i) | 2044(T枚 M路ng 搂o鹿n Th帽y B茅i) | 2104(Kim 陇 Chi茽u 搂露m Y陋u Tr么y) | 2114(Kim 陇 L虄ch Huy茽t Y陋u Tr么y) | 2224(Kim 陇 Long Huy茽t Y陋u Tr么y) | 2234(Kim 陇 D鹿ng Phong B茅i) | 2264(Kim 陇 Th赂i H脽a Ng盲c B茅i) | 2274(Kim 陇 Nguy脰t 露nh B茅i) | 2334(B鹿ch H忙 Ng霉 Phong Y陋u Tr么y) | 2344(B鹿ch H忙 Phi陋u Phong Y陋u Tr么y) | 2454(B鹿ch H忙 Tr啤ng Gi铆i Y陋u Tr么y) | 2464(B鹿ch H忙 X漂ch Minh B茅i) | 2494(B鹿ch H忙 搂鹿o Minh Ng盲c B茅i) | 2504(B鹿ch H忙 Thi陋n Canh B茅i) | 2564(X漂ch L漏n V芦 搂虄ch Y陋u Tr么y) | 2574(X漂ch L漏n L芦i 搂脳nh Y陋u Tr么y) | 2684(X漂ch L漏n Gi赂ng Long Y陋u Tr么y) | 2694(X漂ch L漏n Nhi陋n Kh芦n B茅i) | 2724(X漂ch L漏n Nh虄 C忙 Ng盲c B茅i) | 2734(X漂ch L漏n C碌n Vi陋n B茅i) | 2794(Minh Ph颅卯ng Anh H茂ng Y陋u Tr么y) | 2804(Minh Ph颅卯ng B赂 V颅卢ng Y陋u Tr么y) | 2914(Minh Ph颅卯ng Quang Ph么c Y陋u Tr么y) | 2924(Minh Ph颅卯ng D么c Nh脣t B茅i) | 2954(Minh Ph颅卯ng B氓ng Lai Ng盲c B茅i) | 2964(Minh Ph颅卯ng C枚u Thi陋n B茅i) | 3024(搂禄ng Long T虄ch 搂虄a Y陋u Tr么y) | 3034(搂禄ng Long H莽n Nguy陋n Y陋u Tr么y) | 3144(搂禄ng Long T么 Ngh脺a Y陋u Tr么y) | 3154(搂禄ng Long Vi陋m Ho碌ng B茅i) | 3184(搂禄ng Long Huy虊n Thi陋n Ng盲c B茅i) | 3194(搂禄ng Long Ph颅卢ng Nguy陋n B茅i) | 3284(Kim 陇 Chi茽u 搂露m Y陋u Tr么y) | 3294(Kim 陇 L虄ch Huy茽t Y陋u Tr么y) | 3404(Kim 陇 Long Huy茽t Y陋u Tr么y) | 3414(Kim 陇 D鹿ng Phong B茅i) | 3444(Kim 陇 Th赂i H脽a Ng盲c B茅i) | 3454(Kim 陇 Nguy脰t 露nh B茅i) | 3894(H戮c th脟n- M路nh Uy- H茅 Uy脫n) | 3944(B鹿ch H忙 Ng霉 Phong Y陋u Tr么y) | 3954(B鹿ch H忙 Phi陋u Phong Y陋u Tr么y) | 4064(B鹿ch H忙 Tr啤ng Gi铆i Y陋u Tr么y) | 4074(B鹿ch H忙 X漂ch Minh B茅i) | 4104(B鹿ch H忙 搂鹿o Minh Ng盲c B茅i) | 4114(B鹿ch H忙 Thi陋n Canh B茅i) | 4185(X漂ch L漏n V芦 搂虄ch Y陋u Tr么y) | 4195(X漂ch L漏n L芦i 搂脳nh Y陋u Tr么y) | 4305(X漂ch L漏n Gi赂ng Long Y陋u Tr么y) | 4315(X漂ch L漏n Nhi陋n Kh芦n B茅i) | 4345(X漂ch L漏n Nh虄 C忙 Ng盲c B茅i) | 4355(X漂ch L漏n C碌n Vi陋n B茅i) | 4652(脟脿戮脭脰庐鲁氓脭脝脧膬脛虊) | 4672(脭脝脗鹿脰庐膼鈧�膼茅脧膬脛虊) | 4692(虏脭脌脟脰庐潞脷脰帽脧膬脛虊) | 4712(膼鈧�脭鲁脰庐脡陆膫霉脧膬脛虊) | 4732(脳脧蹋鈧�脰庐陆谩脗芦脧膬脛虊) | 4752(陆膽脦脷脰庐脛脧脰虄脧膬脛虊) | 4772(掳脳禄垄脰庐脳脫帽脝脧膬脛虊) | 4792(鲁脿梅毛脰庐虏脡虄卤脧膬脛虊) | 4802(膫霉路茂脰庐茽驴脫卯脧膬脛虊) | 4812(膫霉路茂脰庐脦脷脫帽脧膬脛虊) | 4822(虁脷脕煤脰庐脣漂脫脦脧膬脛虊) | 4832(虁脷脕煤脰庐虊脕脣庐脧膬脛虊) | 4837(H戮c th脟n- M路nh Uy- H茅 Uy脫n) | 4842(H戮c th脟n- M路nh Uy- H茅 Uy脫n) | 4847(H戮c th脟n- M路nh Uy- H茅 Uy脫n) | 4852(H戮c th脟n- M路nh Uy- H茅 Uy脫n) | 4912(Minh Ph颅卯ng Anh H茂ng Y陋u Tr么y) | 4922(Minh Ph颅卯ng B赂 V颅卢ng Y陋u Tr么y) | 5032(Minh Ph颅卯ng Quang Ph么c Y陋u Tr么y) | 5042(Minh Ph颅卯ng D么c Nh脣t B茅i) | 5072(Minh Ph颅卯ng B氓ng Lai Ng盲c B茅i) | 5082(Minh Ph颅卯ng C枚u Thi陋n B茅i) | 5202(虏脭帽路脰庐虁虂脝么膼盲) | 5207(脕猫脭脝脰庐脳鲁脰戮膼盲) | 5212(茽陆脡帽膼盲) | 5343(虁脷脕煤-脦盲脕虊脰庐脦虄戮隆脜氓) | 5418(膼脟脣陋脰庐脥虁膼掳鹿虊脳鹿) | 5428(膼脟脣陋脰庐枚虁陆膽脩眉脳鹿) | 5438(膼脟脣陋脰庐脗脛脣陋脩眉脳鹿) | 5478(膼脟脣陋脰庐虏脢脭脧脧膬脛虊) | 5488(膼脟脣陋脰庐贸赂路脡脩眉脳鹿) | 5498(膼脟脣陋脰庐赂陆鹿脟脩眉脳鹿) | 5548(膼脟脣陋脰庐脝脝脗虏脩眉脳鹿) | 5558(膼脟脣陋脰庐脕露脠茽脜氓) | 5588(膼脟脣陋脰庐戮瓢脥鈧�脫帽脜氓) | 5598(膼脟脣陋脰庐脷陇脌脳脜氓) | 5618(膼脟脣陋脰庐锚禄虁虂脧膬脛虊) | 5628(膼脟脣陋脰庐脟氓膼茅脧膬脛虊) | 5655(鲁脿梅毛脰庐虏脡虄卤脧膬脛虊) | 5709(脭脗膬脷脰庐路脺脦盲鹿虊脳鹿) | 5719(脭脗膬脷脰庐路茅脩虁脩眉脳鹿) | 5729(脭脗膬脷脰庐鲁陇驴茽脩眉脳鹿) | 5769(脭脗膬脷脰庐路莽脭脗脧膬脛虊) | 5779(脭脗膬脷脰庐掳脵露戮脩眉脳鹿) | 5789(脭脗膬脷脰庐脫脛脷陇脩眉脳鹿) | 5839(脭脗膬脷脰庐潞脌陆脺脩眉脳鹿) | 5849(脭脗膬脷脰庐虁掳脌脟脜氓) | 5879(脭脗膬脷脰庐禄膫脫掳脫帽脜氓) | 5889(脭脗膬脷脰庐脕猫路莽脜氓) | 5909(脭脗膬脷脰庐虊漂脫掳脧膬脛虊) | 5919(脭脗膬脷脰庐脟氓路莽脧膬脛虊)
伏魔戒衫,1361,3893,nearest-candidate-to-current-selected,H戮c th脟n- M路nh Uy- L瓢,2532,3893(H戮c th脟n- M路nh Uy- L瓢) | 4836(H戮c th脟n- M路nh Uy- L瓢) | 4841(H戮c th脟n- M路nh Uy- L瓢) | 4846(H戮c th脟n- M路nh Uy- L瓢) | 4851(H戮c th脟n- M路nh Uy- L瓢) | 5201(虏脭帽路脰庐虁虂脝么脗脛) | 5206(脕猫脭脝脰庐脳鲁脰戮脗脛) | 5211(茽陆脡帽脗脛) | 5230(脦盲脕虊脰庐虂脷禄脥录脳) | 5231(脦盲脕虊脰庐虂脷禄脥录脳) | 5232(脦盲脕虊脰庐虂脷禄脥录脳) | 5233(脦盲脕虊脰庐虂脷禄脥录脳) | 5234(脦盲脕虊脰庐虂脷禄脥录脳) | 5235(脦盲脕虊脰庐虂脷禄脥录脳) | 5236(脦盲脕虊脰庐虂脷禄脥录脳) | 5237(脦盲脕虊脰庐虂脷禄脥录脳) | 5238(脦盲脕虊脰庐虂脷禄脥录脳) | 5239(脕煤忙酶脰庐梅毛茽帽录脳虊脗) | 5342(虁脷脕煤-脦盲脕虊脰庐帽路脗隆脩楼)
伏魔软绦,1361,1351,nearest-candidate-to-current-selected,V漏n L茅c Thanh Phong 搂鹿o B碌o,10,55(B漂ch H露i H氓ng L篓ng Ba) | 125(C脣p Phong Th贸y Ng盲c Huy虊n Ho碌ng B茅i) | 274([搂虄nh th锚i] B漂ch H露i H氓ng Linh Ba) | 344([搂虄nh th锚i] C脣p Phong Th贸y Ng盲c Huy虊n Ho碌ng B茅i) | 819([搂虄nh th锚i] B漂ch H露i H氓ng Linh Ba) | 889(C脣p Phong Th贸y Ng盲c Huy虊n Ho碌ng Uy脫n) | 1231(V漏n L茅c Kh毛i T贸 Sam) | 1301(V漏n L茅c Chu Sa C赂i Y) | 1341(V漏n L茅c Thu脟n D颅卢ng 搂鹿o B碌o) | 1351(V漏n L茅c Thanh Phong 搂鹿o B碌o) | 4669(脭脝脗鹿脰庐膼鈧�膼茅虊脗)
伏魔铜棍,1361,862,nearest-candidate-to-current-selected,[搂虄nh th锚i] 搂虄ch Kh赂i C枚u 搂赂i C赂i Y,499,98(搂虄ch Kh赂i C枚u 搂鹿i C赂i Y) | 317([搂虄nh th锚i] 搂虄ch Kh赂i C枚u 搂赂i C赂i Y) | 862([搂虄nh th锚i] 搂虄ch Kh赂i C枚u 搂赂i C赂i Y)
冥幻护腕,487,448,nearest-candidate-to-current-selected,To赂i Nh漏n 搂o鹿n Th颅卢ng,39,96(搂氓ng C啤u Ki茽n Long Ban Ch脴) | 315([搂虄nh th锚i] 搂氓ng C啤u Ki茽n Long Ban Ch脴) | 448(To赂i Nh漏n 搂o鹿n Th颅卢ng) | 627(脛搂脢脠脰庐茅盲脠茽陆盲) | 742([脣脦陆膽]脛搂脢脠脰庐茅盲脠茽陆盲) | 860([搂虄nh th锚i] 搂氓ng C啤u Ki茽n Long Ban Ch脴) | 1060(Thanh C漏u Tr颅锚ng Phong Th贸c Y陋u) | 1090(Thanh C漏u Nghi脰p H谩a Y陋u 搂赂i) | 1290(V漏n L茅c H忙 搂露m Th贸c Y陋u) | 1320(V漏n L茅c Li脰t Di脰m Y陋u 搂赂i) | 1520(Th颅卢ng Lang Hi脰p Ngh脺a Th贸c Y陋u) | 1550(Th颅卢ng Lang Ch漂ch T漏m Y陋u 搂赂i) | 1750(Huy虊n Vi陋n D颅卢ng C颅卢ng Th贸c Y陋u) | 1780(Huy虊n Vi陋n Ch颅铆c T脳nh Y陋u 搂赂i) | 1980(T枚 M路ng M脣t V漏n Th贸c Y陋u) | 2010(T枚 M路ng Li陋u Nguy陋n Y陋u 搂赂i) | 2210(Kim 陇 Thi茽t C猫t Th贸c Y陋u) | 2240(Kim 陇 赂nh Huy茽t Y陋u 搂赂i) | 2440(B鹿ch H忙 H茅 Ph赂p Th贸c Y陋u) | 2470(B鹿ch H忙 S赂t Vi陋m Y陋u 搂赂i) | 2670(X漂ch L漏n Th啤a Long Th贸c Y陋u) | 2700(X漂ch L漏n To鹿i Tinh Y陋u 搂赂i) | 2900(Minh Ph颅卯ng Thi茽t Huy茽t Th贸c Y陋u) | 2930(Minh Ph颅卯ng S漂 搂虄a Y陋u 搂赂i) | 3130(搂禄ng Long H碌o T脳nh Th贸c Y陋u) | 3160(搂禄ng Long Ph脟n Thi陋n Y陋u 搂赂i) | 3390(Kim 陇 Thi茽t C猫t Th贸c Y陋u) | 3420(Kim 陇 赂nh Huy茽t Y陋u 搂赂i) | 4050(B鹿ch H忙 H茅 Ph赂p Th贸c Y陋u) | 4080(B鹿ch H忙 S赂t Vi陋m Y陋u 搂赂i) | 4291(X漂ch L漏n Th啤a Long Th贸c Y陋u) | 4321(X漂ch L漏n To鹿i Tinh Y陋u 搂赂i) | 5018(Minh Ph颅卯ng Thi茽t Huy茽t Th贸c Y陋u) | 5048(Minh Ph颅卯ng S漂 搂虄a Y陋u 搂赂i) | 5534(膼脟脣陋脰庐脹脗脕煤脢酶脩眉) | 5564(膼脟脣陋脰庐驴谩脩脳脩眉麓酶) | 5825(脭脗膬脷脰庐鲁脿脕煤脢酶脩眉) | 5855(脭脗膬脷脰庐脕虊脩么脩眉麓酶)
冥幻暗衣,487,626,nearest-candidate-to-current-selected,脛搂脢脠脰庐碌脴脩脳禄陇脥贸,139,626(脛搂脢脠脰庐碌脴脩脳禄陇脥贸) | 741([脣脦陆膽]脛搂脢脠脰庐碌脴脩脳禄陇脥贸) | 2472(B鹿ch H忙 S赂t Vi陋m 搂ao) | 2702(X漂ch L漏n To鹿i Tinh 搂ao) | 2932(Minh Ph颅卯ng S漂 搂虄a 搂ao) | 3162(搂禄ng Long Ph脟n Thi陋n B露o 搂ao) | 4082(B鹿ch H忙 S赂t Vi陋m 搂ao) | 4323(X漂ch L漏n To鹿i Tinh 搂ao) | 5050(Minh Ph颅卯ng S漂 搂虄a 搂ao)
冥幻毒刃,487,625,nearest-candidate-to-current-selected,脛搂脢脠脰庐鲁脿脕露录脳,138,625(脛搂脢脠脰庐鲁脿脕露录脳) | 740([脣脦陆膽]脛搂脢脠脰庐鲁脿脕露录脳) | 1093(Thanh C漏u Nghi脰p H谩a Ngoa) | 1323(V漏n L茅c Li脰t Di脰m Ngoa) | 1553(Th颅卢ng Lang Ch漂ch T漏m Ngoa) | 1783(Huy虊n Vi陋n Ch颅铆c T脳nh Ngoa) | 2013(T枚 M路ng Li陋u Nguy陋n Ngoa) | 2243(Kim 陇 赂nh Huy茽t Ngoa) | 2473(B鹿ch H忙 S赂t Vi陋m Ngoa) | 2703(X漂ch L漏n To鹿i Tinh Ngoa) | 2933(Minh Ph颅卯ng S漂 搂虄a Ngoa) | 3163(搂禄ng Long Ph脟n Thi陋n Ngoa) | 3423(Kim 陇 赂nh Huy茽t Ngoa) | 4083(B鹿ch H忙 S赂t Vi陋m Ngoa) | 4324(X漂ch L漏n To鹿i Tinh Ngoa) | 5051(Minh Ph颅卯ng S漂 搂虄a Ngoa)
冥幻腰带,487,466,nearest-candidate-to-current-selected,N梅 Oa 搂鹿p L路ng L梅,21,200(Kim Quang Thi陋n T碌m H茅 Uy脫n) | 370([搂虄nh th锚i] 搂鹿i M路 H忙 Thi陋n T碌m H茅 Uy脫n) | 466(N梅 Oa 搂鹿p L路ng L梅)
冰寒护腕,454,448,nearest-candidate-to-current-selected,To赂i Nh漏n 搂o鹿n Th颅卢ng,6,96(搂氓ng C啤u Ki茽n Long Ban Ch脴) | 315([搂虄nh th锚i] 搂氓ng C啤u Ki茽n Long Ban Ch脴) | 448(To赂i Nh漏n 搂o鹿n Th颅卢ng) | 627(脛搂脢脠脰庐茅盲脠茽陆盲) | 742([脣脦陆膽]脛搂脢脠脰庐茅盲脠茽陆盲) | 860([搂虄nh th锚i] 搂氓ng C啤u Ki茽n Long Ban Ch脴) | 1060(Thanh C漏u Tr颅锚ng Phong Th贸c Y陋u) | 1090(Thanh C漏u Nghi脰p H谩a Y陋u 搂赂i) | 1290(V漏n L茅c H忙 搂露m Th贸c Y陋u) | 1320(V漏n L茅c Li脰t Di脰m Y陋u 搂赂i) | 1520(Th颅卢ng Lang Hi脰p Ngh脺a Th贸c Y陋u) | 1550(Th颅卢ng Lang Ch漂ch T漏m Y陋u 搂赂i) | 1750(Huy虊n Vi陋n D颅卢ng C颅卢ng Th贸c Y陋u) | 1780(Huy虊n Vi陋n Ch颅铆c T脳nh Y陋u 搂赂i) | 1980(T枚 M路ng M脣t V漏n Th贸c Y陋u) | 2010(T枚 M路ng Li陋u Nguy陋n Y陋u 搂赂i) | 2210(Kim 陇 Thi茽t C猫t Th贸c Y陋u) | 2240(Kim 陇 赂nh Huy茽t Y陋u 搂赂i) | 2440(B鹿ch H忙 H茅 Ph赂p Th贸c Y陋u) | 2470(B鹿ch H忙 S赂t Vi陋m Y陋u 搂赂i) | 2670(X漂ch L漏n Th啤a Long Th贸c Y陋u) | 2700(X漂ch L漏n To鹿i Tinh Y陋u 搂赂i) | 2900(Minh Ph颅卯ng Thi茽t Huy茽t Th贸c Y陋u) | 2930(Minh Ph颅卯ng S漂 搂虄a Y陋u 搂赂i) | 3130(搂禄ng Long H碌o T脳nh Th贸c Y陋u) | 3160(搂禄ng Long Ph脟n Thi陋n Y陋u 搂赂i) | 3390(Kim 陇 Thi茽t C猫t Th贸c Y陋u) | 3420(Kim 陇 赂nh Huy茽t Y陋u 搂赂i) | 4050(B鹿ch H忙 H茅 Ph赂p Th贸c Y陋u) | 4080(B鹿ch H忙 S赂t Vi陋m Y陋u 搂赂i) | 4291(X漂ch L漏n Th啤a Long Th贸c Y陋u) | 4321(X漂ch L漏n To鹿i Tinh Y陋u 搂赂i) | 5018(Minh Ph颅卯ng Thi茽t Huy茽t Th贸c Y陋u) | 5048(Minh Ph颅卯ng S漂 搂虄a Y陋u 搂赂i) | 5534(膼脟脣陋脰庐脹脗脕煤脢酶脩眉) | 5564(膼脟脣陋脰庐驴谩脩脳脩眉麓酶) | 5825(脭脗膬脷脰庐鲁脿脕煤脢酶脩眉) | 5855(脭脗膬脷脰庐脕虊脩么脩眉麓酶)
冰寒纵绦,454,1291,nearest-candidate-to-current-selected,V漏n L茅c H忙 搂露m C赂i Y,837,1291(V漏n L茅c H忙 搂露m C赂i Y) | 1321(V漏n L茅c Li脰t Di脰m Gi赂p)
